id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp
18065126914992653,0,FALSE,TRUE,FALSE,1,"The top 1% pays half of all taxes.  Half!  We take in 5T in taxes each year.  That’s more than the GDP of Germany (3rd highest behind US and China). We take in 1.3 Trillion more than Germany if you adjust for population size.  Germany runs a deficit of about 100B whereas our deficit is 1.3 trillion already this year.  It’s a borrowing and spending problem, not a tax the rich problem.",2025-04-16T05:24:02.000Z
17931234789011195,2,FALSE,TRUE,FALSE,0,,2025-04-16T02:19:23.000Z
18018804677697871,1,TRUE,FALSE,FALSE,0,It's noteworthy that we don't have a revenue/taxes problem. We have a spending problem.,2025-04-16T04:27:59.000Z
17885870478143709,0,TRUE,TRUE,FALSE,0,First lie IRS does not tax assets so their net worth is not income. Second lie a closer look shows most of their wealth accumulated under the Obama administration who put more Americans on food stamps than any other president🙈,2025-04-16T06:05:18.000Z
17949851648956569,1,FALSE,TRUE,FALSE,0,"Not only that, they also don't pay into Social Security after hitting a certain amount. They need to raise the cap or remove it.",2025-04-16T01:06:50.000Z
18057603839143111,0,FALSE,TRUE,FALSE,1,Yes let's tax aoc Bernie sanders,2025-04-16T05:24:03.000Z
17890388628221618,0,TRUE,TRUE,FALSE,1,Fake news,2025-04-16T01:36:19.000Z
18000998717604410,0,TRUE,TRUE,FALSE,0,Well the wealthiest people all vote democrat so good luck with that one,2025-04-16T01:03:57.000Z
18032952938336655,0,TRUE,TRUE,FALSE,0,"This is fake news. Totally fake. The demonrats are in the pockets of the richest entities in the world. On top of that, the top 1% pay more into taxes than the other 99%  You are so full of Shite.",2025-04-16T10:15:16.000Z
18327349840162899,0,TRUE,FALSE,FALSE,4,"Where were your demands for taxing billionaires when Biden was in office, you didn't make a single post about it then",2025-04-16T02:24:41.000Z
18026030666444493,466,TRUE,TRUE,FALSE,5,Why are American taxpayers funding elitist school to begin with?,2025-04-15T22:03:49.000Z
17955085283940790,775,TRUE,TRUE,FALSE,20,No university should be funded with taxpayer dollars. Especially universities that charge $80K for tuition and don’t admit taxpayers if they’re the wrong color.,2025-04-15T21:59:11.000Z
18131077525417469,132,TRUE,TRUE,FALSE,2,Why does a single tax payer dollar go to these institutions?,2025-04-15T22:05:24.000Z
18027627455410842,275,TRUE,FALSE,FALSE,2,PRIVATE UNIVERSITY. You should never receive taxpayers money. Survive on your own dime,2025-04-15T22:25:24.000Z
18472503982066725,40,TRUE,TRUE,FALSE,3,Why does a private university need federal funding?,2025-04-15T22:02:13.000Z
18224595694295229,3,TRUE,FALSE,TRUE,0,👏👏👏,2025-04-16T02:19:12.000Z
18083552035725419,473,FALSE,TRUE,FALSE,14,"Well the Harvard president is right, they are a private institution and they can have whatever policy they want.....but the President also has the right to rescind Federal grants.",2025-04-15T21:59:27.000Z
